,Title,Link,Date,Summary,Thumbnail
0,Buon Compleanno Wayne,http://www.uraniabasket.it/news/166678924806/buon-compleanno-wayne,2020-10-26,"Urania Basket Milano augura un felice e sereno Compleanno a Wayne Langston!

Happy Birthday Lefty...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_236153230549_1603705960744424.png
1,"Vittoria per la storia, 77-84 a Piacenza e Final8 per Urania",http://www.uraniabasket.it/news/441556831750/vittoria-per-la-storia-77-84-a-piacenza-e-final8-per-urania,2020-10-25,"Altra prova autoritaria di Urania che passa a Piacenza e timbra il pass, storico, che vale le F8 di Supercoppa. Gara dominata dai Wildcats che...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_511031137493_1603652138910135.png
2,Preview Piacenza - Milano,http://www.uraniabasket.it/news/29239971334/preview-piacenza-milano,2020-10-24,"Ultima giornata del girone di qualificazione di Supercoppa per Urania, i Wildcats cercano la qualificazione nella trasferta di domenica a Piacenza,...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_98714277077_1603560156300233.png
3,Programma allenamenti 26 ottobre - 1 novembre,http://www.uraniabasket.it/news/304117878278/programma-allenamenti-26-ottobre-1-novembre,2020-10-23,Dopo il nuovo DPCM del 25/10 rimaniamo in attesa di capire dalla FIP se è possibile proseguire nell'attività programmata oppure no....,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_47174669525_1603470540764905.jpg
4,La FIP di Roma posticipa l'inizio dei Campionati Giovanili al 29/11,http://www.uraniabasket.it/news/243988336134/la-fip-di-roma-posticipa-l-inizio-dei-campionati-giovanili-al-29-11,2020-10-23,"Si riceve dalla FIP di Roma:

Rinvio inizio Campionati regionali di ogni ordine e grado al 29 novembre 2020
Il Consiglio Federale, preso atto degli...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_390772053205_1603467395628656.jpg
5,Lunedì 26 ottobre si torna in palestra in sicurezza,http://www.uraniabasket.it/news/518866243078/lunedi-26-ottobre-si-torna-in-palestra-in-sicurezza,2020-10-23,"Ci teniamo a comunicare ai nostri tesserati del Settore Giovanile e alle relative famiglie che nella giornata giovedì 22/10, sentito il...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_150253884629_1603466321767505.jpg
6,Sentite Condoglianze,http://www.uraniabasket.it/news/106549382662/sentite-condoglianze,2020-10-19,"Urania si stringe con un grande abbraccio attorno alla famiglia Biganzoli, per la triste scomparsa di Felice Pirola. 
Alla figlia Stefania,...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_17109898453_1599235578743402.jpg
7,"Urania da applausi, i WIldcats stendono Treviglio, 85-58",http://www.uraniabasket.it/news/381427289606/urania-da-applausi-i-wildcats-stendono-treviglio-85-58,2020-10-18,Splendida prova corale di Urania che stende Treviglio (85-58) ed intasca il secondo successo in Supercoppa.  Scappa via già nel primo...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_425131791573_1603044561114009.png
8,La Preview di Urania - Treviglio,http://www.uraniabasket.it/news/175268859398/la-preview-di-urania-treviglio,2020-10-17,Dopo la bella vittoria esterna a Bergamo la scorsa settimana arriva l’esordio casalingo in Supercoppa per i Wildcats. Urania che ospita al...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_12814931157_1602960107887668.png
9,Programma allenamenti 19-25 ottobre,http://www.uraniabasket.it/news/450146766342/programma-allenamenti-19-25-ottobre,2020-10-16,"In attesa di notizie più precise rispetto a indiscrezione di stampa QUI, siamo pronti a pubblicare il programma allenamenti per le squadre del...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_218973361365_1602861112675262.jpg
